Age,Compras,Gasto,Recency,Income
32,5,23,46,23661
56,19,605,32,79761
41,11,57,54,7500
46,22,2088,98,73455
56,16,1009,97,64961
43,5,26,75,22804
24,22,1627,8,73687
56,31,1102,37,61074
50,6,17,31,31686
42,16,1690,40,80134
61,21,1390,74,75027
26,20,2126,90,67546
45,25,1531,57,65176
39,7,64,59,31160
29,6,26,52,29938
40,29,1112,5,102692
56,11,210,92,26490
47,26,1148,77,75702
40,6,33,35,30899
53,19,1101,48,63342
50,16,322,97,45989
50,10,44,95,18701
57,4,17,24,40737
35,6,31,60,15287
46,25,845,46,69674
44,15,275,85,44159
36,4,25,31,37717
62,17,275,9,43776
48,11,90,30,38179
51,19,1495,47,80124
44,11,184,70,38097
44,13,981,13,72940
44,8,67,11,22070
61,14,1635,31,69267
31,10,60,15,31788
39,12,231,2,61905
54,10,48,55,29315
51,9,99,38,33378
51,23,770,86,66313
58,23,957,56,60714
33,12,818,29,77882
28,17,925,30,69867
46,22,908,64,63841
33,10,102,46,24480
38,16,576,84,51369
68,13,317,20,37760
40,15,461,74,65640
39,7,37,18,44319
40,7,70,75,30631
62,23,930,17,75278
58,33,859,88,50898
48,22,1478,19,79946
65,16,390,62,35416
30,5,52,11,32414
45,10,137,74,38361
34,19,1919,32,82497
43,9,68,76,16626
49,4,25,6,29672
62,23,1374,62,55951
26,5,32,20,35388
28,7,100,43,42386
32,12,825,45,68627
49,28,916,34,57912
56,11,62,53,35246
58,21,728,44,58821
36,7,90,89,46377
26,13,273,43,39747
30,10,66,68,23976
53,23,1213,44,80950
48,7,107,64,27038
67,18,1157,85,77457
50,18,546,93,64100
22,11,241,12,42670
38,11,53,86,12571
47,7,37,28,22574
25,24,1611,69,51373
38,23,1508,42,70893
48,16,235,13,54198
58,7,32,86,28839
42,8,102,59,40321
29,15,401,30,66503
63,6,28,33,30833
44,21,1052,67,51373
43,21,680,23,64795
40,4,30,81,34421
49,4,20,6,47025
53,23,1307,41,64325
61,24,630,78,40464
57,18,1283,49,62187
38,9,65,39,14849
30,5,37,3,27255
64,5,38,37,54432
28,12,160,22,29999
31,4,23,79,24072
25,6,71,46,33996
58,19,1161,82,66334
43,5,59,10,35178
31,7,33,51,22010
54,22,946,38,62204
46,22,1442,10,75693
42,5,62,14,30675
49,22,1674,18,83003
26,21,1538,95,68655
28,8,139,11,41411
45,20,1182,65,55212
64,18,507,71,59292
41,4,18,13,27190
62,16,940,58,82623
49,6,42,65,44300
44,15,1190,0,84835
43,8,44,33,30372
38,4,16,90,33181
57,26,835,95,71113
28,22,1443,93,71952
48,18,1029,38,69759
40,18,1188,18,72099
38,24,1277,57,60000
36,7,49,45,38643
59,7,99,61,50737
45,15,1670,6,68462
71,14,900,65,65073
66,16,425,52,46681
57,22,2153,87,78618
45,21,636,38,62187
36,10,57,53,28442
36,4,25,31,37717
47,22,494,67,51479
45,19,693,65,54803
54,26,1348,64,79530
38,7,51,82,31615
52,16,1932,27,72025
39,16,990,63,52614
30,5,30,66,35684
39,16,254,69,48178
44,5,29,52,29548
48,23,1371,45,63810
42,9,73,2,38578
39,11,120,86,46098
44,5,81,23,22585
25,5,37,13,30279
53,20,1377,14,66426
45,5,51,92,30822
45,4,17,38,33581
29,4,22,74,19986
60,14,324,14,27421
41,16,211,94,35688
33,4,19,33,36143
43,8,41,32,10245
46,17,492,11,43795
54,26,1005,78,63381
65,7,114,56,38823
46,19,1173,57,83664
35,19,1738,7,90300
35,12,222,0,62499
21,16,1127,66,74293
68,10,209,86,51012
46,23,787,80,70777
23,24,1598,56,68682
43,12,186,18,43824
30,6,47,51,15345
27,5,27,71,23442
34,11,96,71,14515
58,10,64,80,31395
49,23,1040,2,75276
40,13,163,83,42373
54,11,343,29,30507
59,24,446,11,55521
49,5,41,55,48006
42,9,70,19,27213
43,14,272,1,65808
40,6,46,19,30351
51,19,490,28,50437
32,8,79,76,23616
38,17,915,50,53858
59,35,1485,1,66465
27,16,369,90,46923
52,19,1073,83,75072
71,19,1242,73,75865
39,9,78,24,19789
20,21,1378,11,80134
33,26,1474,33,91065
43,29,751,4,49505
41,7,48,14,37401
31,6,45,30,30096
32,4,10,75,18492
40,16,1435,26,82584
73,22,2119,77,93027
61,4,20,8,48686
28,27,1795,42,92910
25,19,1188,28,75433
25,7,43,52,10404
46,24,1008,1,61314
53,16,1688,1,84865
25,21,684,42,42387
47,39,1082,76,67309
50,25,1068,27,75236
44,7,57,28,30015
58,5,46,49,50943
48,23,733,12,67272
65,17,467,14,51529
43,10,122,89,32011
28,7,36,96,7500
25,5,34,56,28691
66,10,156,72,56223
68,4,14,14,18100
25,5,37,13,30279
40,5,34,99,20130
55,4,20,72,23295
42,11,192,92,42618
50,17,1379,87,81246
38,7,48,7,24027
61,16,428,91,55707
59,27,868,71,57959
45,27,1001,24,56796
43,7,59,17,36230
34,16,431,87,70829
38,27,971,21,65991
42,19,348,90,38988
48,24,2059,44,89572
30,14,265,71,42207
62,13,270,52,50300
32,19,1289,78,66664
50,16,893,2,60597
65,22,926,60,70165
56,9,135,25,50520
51,19,1495,47,80124
39,9,120,46,33183
45,20,1288,83,66582
59,17,1743,17,75261
44,4,15,13,31880
63,20,542,86,53790
43,25,890,92,49269
39,33,1388,47,61456
34,4,17,18,37406
33,30,906,81,56937
36,6,44,91,38415
26,5,25,58,20518
58,26,973,40,62503
42,6,31,67,41644
37,17,518,19,55842
42,19,530,93,62010
37,21,506,41,41124
41,6,70,60,38961
42,6,54,54,37760
40,12,296,26,32233
39,15,266,30,43057
54,19,747,93,83151
50,29,895,35,78825
38,17,1053,4,65104
40,21,735,92,60093
45,5,20,24,14045
62,10,205,96,28457
56,21,2092,11,78952
38,14,309,99,46310
59,22,1722,72,76005
50,15,900,77,58308
70,20,682,85,55614
52,22,663,88,59432
36,6,43,22,55563
43,18,1816,83,78642
65,27,976,63,67911
70,21,746,9,65275
64,6,64,92,27203
53,5,32,2,48330
24,9,263,6,24279
29,21,1445,66,64355
58,5,46,49,50943
61,28,1210,29,53653
38,24,945,77,65665
25,22,1157,77,81217
22,8,137,71,34935
55,25,730,49,61250
33,12,216,97,39665
35,23,943,6,60152
50,16,347,93,48920
55,19,1924,78,89120
68,17,397,62,44124
39,22,2089,47,81169
53,11,138,9,36443
24,5,42,77,26095
55,17,777,24,71367
70,20,1902,19,80184
49,7,52,67,30630
27,13,1651,95,73454
23,13,358,48,42691
61,16,1727,73,70503
27,10,210,35,25545
28,5,42,76,32880
56,20,1291,20,77863
37,15,442,72,50353
50,17,1895,20,61839
54,19,411,69,49154
39,19,521,80,47682
45,17,1168,65,72679
37,23,493,52,57954
52,12,260,65,65316
32,7,46,57,28567
63,16,319,70,47352
47,7,96,0,44931
47,16,1062,19,76982
62,12,232,50,57247
33,9,76,67,22944
37,9,54,46,25315
45,11,201,37,43638
30,14,406,38,42710
32,20,1919,9,84169
38,20,662,56,54058
24,8,41,98,24683
50,14,1600,68,85620
34,8,134,72,47850
46,10,69,47,19514
41,6,21,33,27159
51,7,54,87,39548
25,8,91,0,21474
43,18,526,73,60504
51,8,162,74,22419
65,25,1008,4,81698
62,16,240,50,43462
36,21,795,57,54880
32,19,1772,30,79908
44,8,64,27,15315
55,20,1957,61,87771
36,7,78,4,33039
34,19,1572,75,81741
43,26,795,12,71499
44,26,889,13,62466
51,15,331,9,48799
64,12,265,48,52157
52,19,1065,80,66565
63,4,11,60,29298
35,4,21,43,47691
44,4,17,19,38200
40,16,369,26,44989
46,6,38,58,38443
36,11,177,42,38593
44,12,279,27,64413
33,7,62,56,36959
37,21,1230,27,61996
46,11,182,10,51287
44,10,49,48,13260
48,8,75,39,47472
58,16,227,85,54603
40,15,215,64,45207
63,20,444,69,40689
47,5,47,54,47821
63,7,143,57,27450
31,7,55,64,39453
43,11,63,10,26850
59,22,1867,65,79800
53,20,611,74,61794
59,18,473,4,53863
55,6,55,94,24221
30,7,81,41,39684
39,21,2086,25,92163
49,20,1478,94,69882
37,5,49,9,33178
42,15,382,47,59973
39,9,69,12,17459
45,6,67,80,23910
45,6,30,20,42169
36,9,63,39,26224
33,10,79,57,31089
53,5,42,27,30081
54,23,819,83,62807
59,17,1151,79,72906
66,20,594,69,61467
48,11,129,77,49618
28,12,213,15,21888
41,7,67,99,42429
58,5,28,61,26150
39,6,45,23,30801
49,18,1193,84,81168
45,12,268,74,26877
70,12,266,90,45006
41,5,37,41,18978
47,7,37,28,22574
45,25,882,73,48240
40,18,373,88,45837
49,6,35,94,35791
38,1,107,31,162397
36,5,42,31,54162
54,17,326,6,30522
53,17,404,23,54456
43,6,95,92,31632
65,14,939,52,72298
36,5,33,50,36975
59,21,981,54,72635
38,7,36,93,13624
39,20,1237,56,84196
54,34,1825,28,70971
37,9,103,94,34487
37,12,191,76,28769
44,25,1586,43,69084
56,14,963,46,65488
44,26,889,13,62466
54,7,93,27,32218
41,21,1587,12,83917
52,4,16,3,46102
62,32,1375,72,84574
52,14,393,6,56181
64,26,1477,53,63120
43,18,1179,58,73691
54,26,1005,78,63381
66,21,1348,57,76140
55,23,1307,37,62859
50,15,486,20,45906
67,13,2252,73,77632
43,17,235,56,46463
44,30,1724,36,105471
44,11,235,9,55282
37,28,1092,42,78710
56,17,599,28,66886
54,19,2008,23,98777
29,6,48,38,29103
40,32,1174,63,67445
64,7,67,71,50616
59,15,365,9,49431
39,0,6,81,153924
61,10,165,87,61278
56,11,210,92,26490
67,26,1095,36,73059
48,12,223,86,46734
51,22,597,83,56253
29,4,22,74,19986
39,24,1064,87,58330
34,6,74,29,25965
58,5,26,88,14661
55,5,60,77,18690
40,4,20,25,45068
27,7,59,34,21063
46,5,34,43,29187
43,12,198,76,54690
50,28,1048,81,59304
52,21,574,87,59247
44,17,1029,33,66731
34,20,670,38,77353
39,16,990,63,52614
40,4,11,26,26751
51,21,1241,17,81300
35,17,576,75,70337
29,12,172,13,36145
34,20,664,19,65295
51,23,928,51,68118
47,30,2074,81,68743
32,15,467,32,41039
59,12,257,84,38946
47,17,1146,87,65777
38,20,689,99,66476
42,22,2114,96,86857
32,44,1717,21,160803
25,21,1346,40,77845
45,15,1044,3,69476
54,22,493,98,50611
44,13,957,73,61209
56,12,270,90,42315
62,5,29,29,13084
65,9,121,3,47570
53,8,126,94,61923
19,4,23,65,34824
65,8,57,33,26518
53,20,636,46,45938
54,28,1004,29,78468
41,20,734,99,78901
36,20,614,26,71427
36,21,1453,30,71022
26,15,1621,27,90247
46,12,187,24,41335
28,22,1443,93,71952
44,6,57,34,35682
63,20,637,88,43185
66,14,948,96,66375
43,5,59,10,35178
28,4,18,26,25252
49,26,903,49,55250
39,8,112,11,33249
61,20,596,44,58398
32,13,233,75,50272
39,11,1511,64,76618
54,17,1152,19,87305
36,7,48,45,25851
44,31,1185,77,58710
56,4,21,9,45160
49,16,965,1,74806
60,21,869,90,59111
30,6,16,43,18988
49,16,1947,79,72190
38,12,71,19,7500
48,6,65,99,44794
59,24,1380,62,80395
38,23,1027,41,75012
49,21,411,60,56962
23,26,836,17,89891
65,4,11,24,35946
61,23,480,60,53593
36,23,606,57,66373
66,16,284,74,45072
41,14,1472,22,89694
65,26,1677,46,72025
41,19,1335,69,67432
62,13,334,29,70545
25,4,18,37,17487
45,20,1338,26,62882
61,30,1099,8,64108
58,8,97,26,34941
64,9,63,79,48767
36,9,109,71,38702
50,21,902,83,82224
62,20,1574,57,83844
39,9,38,37,17003
19,24,960,30,71163
44,4,28,34,33697
60,28,1215,0,63564
42,22,1497,89,83443
56,17,449,92,51518
39,24,1064,87,58330
45,25,1757,20,80952
35,21,1440,56,75507
36,24,1006,28,63855
42,23,1226,55,62220
50,20,1171,25,58512
35,8,92,0,40662
55,8,99,86,38829
33,8,66,8,35523
47,19,564,33,79146
26,21,1427,13,78285
36,6,86,12,31626
62,19,833,92,75127
59,12,242,90,48726
37,17,1869,8,74985
27,29,1364,6,67430
49,8,183,91,46891
58,18,450,52,62058
35,21,758,3,72063
63,20,1507,57,78939
49,25,654,9,42720
42,9,81,22,33622
57,1,137,76,6835
61,4,16,86,41452
49,8,93,64,40760
56,18,1158,90,74250
59,6,43,79,51124
43,22,1525,28,72258
40,19,1230,86,71466
38,6,29,42,36283
44,5,25,39,20587
42,4,24,8,30467
42,5,38,40,31590
28,7,57,5,20425
54,12,47,96,17144
46,24,813,28,42564
36,22,629,22,43783
38,17,377,30,40780
69,14,1612,45,62847
57,17,729,58,82017
64,6,50,49,16813
36,15,270,37,51267
53,9,177,70,46524
52,13,315,33,45183
60,23,767,98,70421
49,26,1071,17,60161
41,24,1580,54,73926
46,10,60,39,19329
44,21,573,81,61872
58,5,41,71,46984
63,10,170,62,34838
70,28,1167,8,82716
56,25,1526,76,48192
38,21,458,66,49681
43,6,63,83,56850
57,17,405,28,55267
42,20,1027,87,59666
42,22,1478,43,72504
33,5,72,0,26872
42,7,48,1,21359
39,16,726,1,73170
59,27,860,72,52750
28,22,1497,72,91820
44,18,495,12,65968
38,4,20,89,30772
60,19,570,67,22507
42,21,769,54,65685
36,7,55,34,25804
34,18,1808,15,76412
42,7,55,43,22063
53,18,577,0,57091
51,8,162,74,22419
55,20,1957,61,87771
55,24,1576,51,78353
60,17,1616,97,93404
52,6,36,75,37859
56,22,1482,83,80995
30,5,22,23,16529
38,6,63,65,55412
22,18,680,94,48789
47,20,542,42,56575
34,7,50,10,25130
47,6,39,94,35441
58,28,1043,50,71391
42,14,385,46,49494
34,27,1633,98,81702
34,5,46,42,45889
37,20,761,30,56628
64,9,76,11,34026
40,14,290,61,40049
26,11,89,12,34176
33,11,70,76,19419
54,17,1066,2,82504
44,19,2009,43,81205
23,19,1345,27,61618
58,23,764,60,55284
51,11,195,79,49980
34,11,53,96,15072
40,13,368,17,49166
60,20,544,0,65324
57,25,1853,38,82347
48,6,35,43,30843
40,18,446,1,46374
35,31,1180,25,60474
41,5,41,2,38576
29,22,727,66,55357
48,6,40,49,37758
25,26,1062,5,85710
45,7,40,71,23228
45,17,292,35,44602
27,4,15,94,7500
25,17,341,80,38683
39,13,369,61,49514
41,17,401,29,57906
48,17,393,0,43456
28,4,10,80,19485
36,16,486,54,53172
35,7,69,71,30545
31,17,1727,27,70123
55,16,995,61,62450
38,10,45,55,21675
33,12,182,35,42395
36,23,989,34,61346
61,18,1677,95,80812
43,23,595,64,42835
31,9,156,30,39922
58,28,1226,12,86424
36,11,128,96,17117
42,9,86,16,24762
39,7,68,16,35797
39,4,16,78,36627
33,7,55,83,51111
42,22,2114,96,86857
44,19,2018,67,82072
61,15,263,87,46231
55,7,55,34,42243
52,24,564,46,51195
36,20,1281,7,68092
41,7,83,73,31814
49,18,353,54,51390
31,25,1003,93,76630
23,4,14,52,26868
71,24,902,53,48948
42,25,1139,81,55260
58,20,797,8,64090
56,25,1638,97,78331
40,17,401,50,37087
28,11,84,38,21846
56,18,928,61,81320
44,11,203,46,54137
47,16,858,73,66825
41,13,409,19,57100
45,16,282,10,58917
37,18,1423,94,85072
53,18,1449,10,86429
43,4,28,37,45684
40,6,67,94,47889
28,10,199,23,45921
48,22,1453,75,78420
22,19,1253,40,75114
51,31,1198,24,52278
42,10,178,11,35641
20,18,1990,29,95529
60,14,976,51,62820
54,15,1001,86,73113
32,20,1919,9,84169
60,14,350,30,42607
60,25,1650,73,74637
59,5,46,25,46015
21,19,1228,67,72354
45,7,95,67,39858
66,9,62,58,34469
28,26,1761,82,83033
35,16,467,98,24401
36,19,1149,93,77583
32,19,2052,53,74116
21,16,1127,66,74293
38,21,1416,6,68397
40,20,1113,42,79632
25,7,125,78,46107
63,25,966,29,64950
25,5,32,82,25443
62,19,833,92,75127
43,8,46,78,32892
43,17,960,54,71796
44,30,1829,45,67536
43,26,779,59,55239
39,23,811,8,60554
62,22,1120,51,64831
52,20,725,51,56067
31,12,1187,76,82025
61,18,2302,62,94384
28,9,66,86,14906
27,19,1250,60,51563
32,20,683,56,57937
35,13,305,83,68274
37,6,50,92,39771
39,16,995,31,67893
35,6,41,80,27922
38,9,77,39,52190
41,12,171,20,44051
43,7,131,53,42767
38,5,54,84,46106
38,12,53,50,16927
49,16,475,96,59754
62,22,694,94,53700
41,8,96,25,59041
57,16,361,48,54237
47,26,1079,65,70647
52,20,578,69,52597
45,7,64,12,41021
39,13,149,84,40233
34,17,231,47,50183
55,21,728,87,54753
41,23,1778,35,92955
41,10,93,47,33471
40,4,23,48,34596
34,24,662,46,44010
26,18,1198,27,84219
46,11,81,37,40706
26,10,92,8,15716
55,18,491,29,59052
43,24,1564,85,80573
52,24,926,2,83715
55,19,1910,66,82576
49,21,411,60,56962
62,9,94,54,35704
60,28,1085,70,53103
54,4,23,55,46779
49,0,6,20,4861
35,6,54,78,33462
36,29,1150,63,63693
64,23,1415,17,80763
40,16,405,43,65352
36,19,1908,13,82170
45,26,2486,46,75759
38,27,1315,65,79689
58,7,45,1,35340
60,17,1789,6,85683
42,4,19,32,24884
33,22,573,34,42021
25,24,805,70,64449
60,8,108,49,64587
19,4,23,65,34824
36,23,1493,25,75437
57,9,89,84,26091
41,25,936,7,52845
58,16,343,34,46086
58,20,528,38,78028
27,12,1901,1,95169
33,22,724,25,56337
27,7,58,25,22434
60,16,297,50,36930
60,21,488,46,36130
61,23,859,96,65569
62,20,1574,57,83844
46,10,69,47,19514
51,4,17,52,36736
35,21,2194,30,77568
38,8,116,63,49187
36,18,279,51,30168
46,7,103,14,34053
43,9,44,20,38196
63,15,406,56,59412
49,20,1363,41,70924
45,11,236,72,54165
41,5,39,1,32300
38,8,137,27,20180
41,10,79,77,34961
40,6,63,87,28440
61,25,1314,81,64504
48,6,71,51,33564
36,7,58,79,17345
47,21,702,11,56320
36,7,94,54,28647
27,7,80,93,15038
56,5,22,0,32173
50,32,1211,54,68316
43,22,1461,21,74538
43,20,1968,58,91700
45,16,1091,3,68695
37,5,55,99,31056
41,19,1366,70,79593
34,13,313,65,28071
56,11,62,44,37334
42,9,92,6,46423
43,6,72,9,37126
61,21,655,95,47703
55,18,704,70,61180
60,8,54,92,38998
23,16,178,62,8028
52,14,1033,85,76081
28,5,36,2,34728
49,10,122,0,33168
48,7,122,91,33585
54,27,1123,3,77037
30,18,497,68,35196
48,25,691,98,44529
49,20,1363,41,70924
48,4,12,16,28764
65,25,2440,82,69098
44,7,56,1,25959
31,5,37,64,27100
29,21,968,68,70596
40,15,270,98,42557
63,12,278,32,53312
62,22,1250,87,72228
27,17,938,84,67605
65,28,1178,3,62845
56,26,1155,34,65196
27,20,653,23,42000
41,6,49,37,35860
50,17,506,22,65526
53,8,38,19,16860
22,23,1650,7,83528
49,33,1826,52,64176
58,4,18,91,22304
36,24,906,93,67023
43,8,46,78,32892
48,25,1477,23,70713
59,23,766,83,59925
61,7,47,92,39722
56,14,467,4,46610
53,21,2116,32,88347
33,25,1298,27,87171
38,6,22,10,26907
46,15,396,9,50014
36,4,20,65,41014
49,13,967,68,66294
43,19,357,16,36715
58,16,1401,12,79456
32,4,15,95,40479
44,20,2087,16,75345
37,26,981,46,54233
44,6,17,3,24163
56,22,523,80,84460
31,4,23,77,43776
56,17,1192,0,71691
41,20,1958,62,85844
40,9,133,91,39190
55,17,777,24,71367
42,9,73,2,38578
49,10,121,22,57236
35,15,424,56,61825
56,13,868,54,79803
28,15,756,71,80910
32,4,12,38,27590
35,25,937,62,56775
39,17,1862,78,83829
35,14,367,18,54210
28,20,443,95,38508
44,13,267,66,53187
42,6,61,28,30023
54,21,1323,78,76045
62,6,63,13,50870
44,8,64,27,15315
40,19,562,17,65463
49,19,312,71,66480
60,16,1156,79,76773
31,16,1104,1,81698
41,4,16,78,54466
54,19,2008,23,98777
30,9,44,75,16269
43,14,1574,70,71819
31,5,63,10,33569
31,12,426,24,36262
48,6,96,47,22634
36,23,635,98,47025
46,22,757,4,70566
35,9,125,15,31605
41,16,332,67,52034
35,8,135,32,48526
60,14,330,40,46734
52,20,384,54,39552
48,18,1722,78,86358
37,7,78,94,46931
29,4,24,51,16581
62,25,1168,42,63998
63,17,957,67,67381
47,4,15,87,25930
36,5,57,29,42693
38,24,1956,89,85606
29,21,2013,74,72903
40,14,326,97,49669
46,9,77,63,36778
52,20,1313,88,85696
25,8,30,34,10979
53,14,315,81,49678
61,22,660,65,56129
25,7,74,51,37155
36,7,46,76,21282
52,8,86,76,33419
69,25,1103,84,63285
40,11,61,56,21255
33,9,145,31,42162
58,31,684,0,54450
60,16,411,91,57744
28,4,27,40,26576
71,27,1060,59,57513
50,24,1459,96,68142
35,4,18,61,7500
40,26,1833,14,83145
54,12,237,16,54197
51,10,48,98,23091
38,26,515,11,46049
40,15,1020,52,56715
53,11,1370,19,79410
63,25,1026,61,57304
49,12,301,73,44375
58,31,684,0,54450
49,17,499,74,59594
20,21,1004,55,80685
40,12,218,48,40344
42,22,606,53,62710
46,6,75,13,48985
46,9,106,34,35322
66,17,990,54,77142
45,16,1097,69,81657
18,4,16,81,14421
40,5,34,99,20130
24,16,1711,3,74214
57,17,438,61,66726
35,7,75,65,23724
54,13,225,93,47353
62,4,18,24,33444
33,17,470,8,54386
33,9,91,72,28510
23,18,2525,29,90638
64,19,504,33,48070
57,11,235,68,43140
53,21,1232,55,54959
56,12,88,76,15056
43,4,17,17,26954
29,5,24,94,22327
49,7,60,86,44393
62,26,1020,25,62000
52,10,155,22,31497
40,5,51,15,45894
44,16,1812,35,78579
45,25,1461,81,67369
54,6,96,55,58401
62,9,160,94,62307
45,10,139,50,43641
46,22,908,64,63841
49,8,183,91,46891
45,19,1161,11,70091
42,14,988,72,78075
53,27,1072,6,59184
37,12,174,0,54809
55,22,758,66,58113
56,11,195,42,51412
35,6,31,60,15287
57,17,1084,64,66636
58,22,685,87,50965
49,26,1672,96,84618
24,6,43,1,18351
57,5,49,54,40451
49,9,133,53,36317
57,15,363,96,42213
59,18,545,58,65748
42,31,1065,12,77044
45,21,2047,78,74918
42,15,296,64,56721
39,11,140,26,42160
49,17,530,8,61559
51,13,152,49,33629
23,24,1598,56,68682
51,8,114,55,34377
28,10,101,25,8940
41,4,25,50,26228
57,22,789,84,77297
33,7,87,30,40211
56,11,90,81,33438
55,20,1215,74,75032
59,22,811,76,61284
28,7,61,36,22518
39,18,405,64,54730
59,9,72,62,38452
43,14,189,53,44421
28,5,40,86,38197
36,10,63,15,41986
31,7,52,67,28427
38,5,39,47,37395
43,25,805,47,64722
58,8,130,81,55249
42,24,1631,98,84906
25,5,34,56,28691
62,12,152,48,44213
30,5,21,18,25707
